metier;sexe;formation;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;intervalle_revenus;presence_enfants;presence_enfant_conduite_accompagnée;Index
coloriste;M;z_High School;Private;Minivan;yes;0;1;Highly Urban/ Urban;14/02/2022 20:28;complet;dev_express;(>20k€, 40k€);Oui;Oui;332
assistant commercial commerciale;M;Bachelors;Private;Sports Car;no;0;4;Highly Urban/ Urban;21/02/2022 01:00;complet;dev_express;(>20k€, 40k€);Non;Non;333
responsable de scierie;M;Bachelors;Commercial;Van;yes;0;7;z_Highly Rural/ Rural;09/04/2022 20:12;complet;dev_integral;(>20k€, 40k€);Oui;Non;334
gestionnaire de contrats informatiques;F;Bachelors;Commercial;Minivan;no;5;9;Highly Urban/ Urban;25/03/2022 02:23;complet;dev_integral;(>60k€, 80k€);Oui;Non;335
chef de projet sites et sols pollués;F;Masters;Private;z_SUV;no;0;20;Highly Urban/ Urban;31/03/2022 08:06;complet;dev_express;(>80k€, 100k€);Oui;Non;336
responsable achats en chimie;M;Masters;Private;Sports Car;no;0;15;Highly Urban/ Urban;02/02/2022 02:18;complet;dev_integral;(>40k€, 60k€);Non;Non;337
chargé d'études en marketing;M;Bachelors;Commercial;Pickup;yes;0;7;Highly Urban/ Urban;08/05/2022 12:04;complet;dev_integral;(>40k€, 60k€);Non;Non;338
consignataire de navire;M;Masters;Commercial;z_SUV;no;0;9;Highly Urban/ Urban;04/04/2022 21:09;complet;dev_integral;(>100k€, 150k€);Oui;Non;339
éducateur de la protection judiciaire de la jeunesse (PJJ);F;z_High School;Private;Sports Car;no;3;6;Highly Urban/ Urban;11/01/2022 12:37;complet;dev_express;(0, 20k€);Oui;Oui;340
trader;M;Masters;Commercial;Panel Truck;no;4;8;Highly Urban/ Urban;22/03/2022 14:39;complet;dev_express;(>100k€, 150k€);Oui;Non;341
matelot à la pêche;M;z_High School;Commercial;Sports Car;no;0;1;Highly Urban/ Urban;30/01/2022 05:24;complet;dev_integral;(>40k€, 60k€);Oui;Non;342
officier de la Marine nationale;M;z_High School;Private;z_SUV;no;7;1;Highly Urban/ Urban;09/05/2022 02:49;complet;dev_integral;(>60k€, 80k€);Non;Non;343
photographe;M;z_High School;Commercial;Minivan;no;3;5;Highly Urban/ Urban;11/04/2022 20:56;complet;dev_integral;(>20k€, 40k€);Non;Non;344
animateur 2D et 3D;M;z_High School;Commercial;Van;yes;1;8;Highly Urban/ Urban;10/01/2022 18:15;complet;dev_integral;(>100k€, 150k€);Non;Non;345
géothermicien;M;z_High School;Private;z_SUV;no;2;;Highly Urban/ Urban;26/03/2022 19:37;complet;dev_premium;(>100k€, 150k€);Non;Non;346
officier de la marine marchande;F;Masters;Commercial;Panel Truck;no;10;14;Highly Urban/ Urban;24/02/2022 04:11;complet;dev_express;(>60k€, 80k€);Non;Non;347
technicien de maintenance en informatique;F;Bachelors;Commercial;Panel Truck;no;3;3;Highly Urban/ Urban;05/03/2022 20:32;complet;dev_integral;(>100k€, 150k€);Oui;Non;348
assistant réalisateur réalisatrice;F;Masters;Private;Minivan;no;0;10;Highly Urban/ Urban;30/04/2022 22:26;complet;dev_express;(0, 20k€);Non;Non;349
viticulteur;M;z_High School;Private;Sports Car;no;0;1;z_Highly Rural/ Rural;26/01/2022 05:23;complet;dev_integral;(0, 20k€);Non;Non;350
inspecteur de banque;F;Bachelors;Private;Minivan;no;4;10;Highly Urban/ Urban;06/01/2022 03:41;complet;dev_vip;(>100k€, 150k€);Oui;Oui;351
ingénieur gaz;M;Masters;Private;Minivan;yes;0;13;Highly Urban/ Urban;09/01/2022 12:44;complet;dev_integral;(>40k€, 60k€);Non;Non;352
conseiller sportif sportive en salle de remise en forme;M;Bachelors;Commercial;z_SUV;no;1;1;Highly Urban/ Urban;13/01/2022 00:17;complet;dev_integral;(>80k€, 100k€);Oui;Non;353
météorologiste;F;PhD;Private;Sports Car;no;8;20;Highly Urban/ Urban;10/05/2022 08:42;complet;dev_integral;(>150k€);Non;Non;354
océanologue;M;Bachelors;Commercial;Panel Truck;no;0;1;z_Highly Rural/ Rural;02/03/2022 15:25;complet;dev_integral;(>80k€, 100k€);Oui;Non;355
technicien de contrôle;F;Masters;Private;Minivan;no;2;18;Highly Urban/ Urban;30/01/2022 12:21;complet;dev_express;(>60k€, 80k€);Oui;Non;356
auteur-compositeur interprète interprète;F;Masters;Private;z_SUV;no;0;25;Highly Urban/ Urban;14/04/2022 07:57;complet;dev_integral;(N/A - Missing Value);Non;Non;357
coordonnateur d'études cliniques;M;Masters;Commercial;Panel Truck;yes;0;19;Highly Urban/ Urban;29/05/2022 01:33;complet;dev_integral;(>100k€, 150k€);Oui;Non;358
directeur artistique;M;Masters;Private;Pickup;yes;0;17;Highly Urban/ Urban;24/05/2022 02:16;complet;dev_express;(>20k€, 40k€);Oui;Non;359
physicien médical médicale;F;z_High School;Commercial;Pickup;yes;2;11;z_Highly Rural/ Rural;27/01/2022 13:08;complet;dev_integral;(>60k€, 80k€);Non;Non;360
ingénieur chimiste en développement analytique;F;Bachelors;Private;Van;no;3;13;Highly Urban/ Urban;07/05/2022 12:43;complet;dev_express;(>40k€, 60k€);Non;Non;361
conducteur de machines agricoles;M;z_High School;Commercial;z_SUV;no;0;8;z_Highly Rural/ Rural;06/03/2022 05:37;complet;dev_premium;(>20k€, 40k€);Oui;Non;362
fleuriste;M;Bachelors;Commercial;z_SUV;no;1;5;Highly Urban/ Urban;06/05/2022 19:28;complet;dev_express;(>40k€, 60k€);Oui;Non;363
chercheur en chimie;F;z_High School;Private;Minivan;no;0;1;z_Highly Rural/ Rural;23/01/2022 05:32;complet;dev_premium;(>40k€, 60k€);Oui;Non;364
éditeur;M;<High School;Commercial;z_SUV;no;3;1;Highly Urban/ Urban;21/01/2022 14:17;complet;dev_integral;(0, 20k€);Oui;Non;365
chercheur en biologie;M;<High School;Private;Minivan;yes;1;;Highly Urban/ Urban;24/05/2022 23:51;complet;dev_integral;(N/A - Missing Value);Oui;Non;366
responsable de projets culturels;F;<High School;Private;Minivan;yes;4;8;z_Highly Rural/ Rural;23/04/2022 17:43;complet;dev_integral;(>20k€, 40k€);Oui;Non;367
conducteur de travaux  agricoles;F;PhD;Private;z_SUV;no;0;9;Highly Urban/ Urban;19/02/2022 18:27;complet;dev_express;(>100k€, 150k€);Non;Non;368
commerçant en alimentation;F;z_High School;Private;Minivan;no;0;7;z_Highly Rural/ Rural;10/01/2022 09:54;complet;dev_express;(>20k€, 40k€);Non;Non;369
contremaître;M;Bachelors;Private;Sports Car;no;0;13;Highly Urban/ Urban;26/02/2022 17:17;complet;dev_premium;(>40k€, 60k€);Oui;Non;370
conducteur de train;F;Bachelors;Private;z_SUV;no;0;10;Highly Urban/ Urban;03/01/2022 08:13;complet;dev_express;(0, 20k€);Oui;Oui;371
chef de publicité;M;Masters;Private;Minivan;yes;0;;Highly Urban/ Urban;27/01/2022 16:05;complet;dev_integral;(N/A - Missing Value);Non;Non;372
technicien télécoms et réseaux;M;<High School;Commercial;Panel Truck;no;2;8;z_Highly Rural/ Rural;26/05/2022 01:19;complet;dev_integral;(>40k€, 60k€);Non;Non;373
femme de chambre;F;<High School;Private;Minivan;no;3;1;Highly Urban/ Urban;07/03/2022 14:13;complet;dev_integral;(0, 20k€);Oui;Non;374
décolleteur;F;z_High School;Private;z_SUV;no;3;;Highly Urban/ Urban;16/04/2022 20:05;complet;dev_express;(>20k€, 40k€);Non;Non;375
garçon de café;M;z_High School;Private;z_SUV;no;3;6;Highly Urban/ Urban;23/05/2022 01:28;complet;dev_express;(>20k€, 40k€);Oui;Non;376
pilote de ligne;F;Masters;Private;z_SUV;no;0;11;Highly Urban/ Urban;08/01/2022 06:18;complet;dev_premium;(>20k€, 40k€);Oui;Non;377
ingénieur biomédical biomédicale;M;Masters;Private;Minivan;no;0;21;Highly Urban/ Urban;29/05/2022 04:55;complet;dev_integral;(>60k€, 80k€);Oui;Non;378
ingénieur technico-commercial technico-commerciale en électronique;M;z_High School;Private;Minivan;yes;1;8;Highly Urban/ Urban;10/01/2022 03:39;complet;dev_integral;(>40k€, 60k€);Oui;Oui;379
professeur de mathématiques ou de physique-chimie;F;Masters;Private;Minivan;no;0;;Highly Urban/ Urban;18/04/2022 14:58;complet;dev_integral;(>80k€, 100k€);Non;Non;380
accessoiriste;M;PhD;Private;Minivan;no;1;18;Highly Urban/ Urban;16/01/2022 03:51;complet;dev_express;(>150k€);Oui;Non;381
podo-orthésiste;M;z_High School;Commercial;Van;yes;2;7;Highly Urban/ Urban;02/01/2022 13:57;complet;dev_express;(>40k€, 60k€);Non;Non;382
esthéticien-cosméticien;M;PhD;Commercial;Van;no;3;16;Highly Urban/ Urban;18/03/2022 04:49;complet;dev_integral;(>100k€, 150k€);Non;Non;383
ingénieur d'affaires en génie électrique;M;Masters;Private;Sports Car;no;0;14;Highly Urban/ Urban;19/01/2022 09:26;complet;dev_premium;(>100k€, 150k€);Non;Non;384
biologiste médical;M;z_High School;Commercial;z_SUV;no;0;11;Highly Urban/ Urban;06/05/2022 19:13;complet;dev_integral;(>60k€, 80k€);Oui;Non;385
matelot à la pêche;F;z_High School;Commercial;z_SUV;no;3;4;Highly Urban/ Urban;27/04/2022 00:03;complet;dev_express;(>20k€, 40k€);Oui;Non;386
consultant en management de l'innovation;M;PhD;Private;Minivan;no;4;19;Highly Urban/ Urban;16/02/2022 20:52;complet;dev_express;(>100k€, 150k€);Non;Non;387
ingénieur études et développement en logiciels de simulation;F;Bachelors;Private;Pickup;no;0;14;Highly Urban/ Urban;06/03/2022 03:04;complet;dev_integral;(N/A - Missing Value);Non;Non;388
consultant en informatique décisionnelle;M;<High School;Private;z_SUV;no;0;5;z_Highly Rural/ Rural;07/01/2022 02:54;complet;dev_express;(>20k€, 40k€);Non;Non;389
agenceur de cuisines et salles de bains;M;Masters;Private;Minivan;yes;0;16;Highly Urban/ Urban;23/02/2022 11:01;complet;dev_express;(>100k€, 150k€);Oui;Non;390
ingénieur intégration satellite;F;Masters;Private;z_SUV;no;0;12;Highly Urban/ Urban;11/04/2022 10:47;complet;dev_integral;(>100k€, 150k€);Oui;Oui;391
ingénieur fluides, énergies, réseaux, environnement;F;Masters;Private;Sports Car;no;1;15;Highly Urban/ Urban;16/03/2022 21:12;complet;dev_integral;(N/A - Missing Value);Non;Non;392
ingénieur en caractérisation des matériaux;F;z_High School;Commercial;Minivan;no;2;11;Highly Urban/ Urban;13/05/2022 08:26;complet;dev_express;(0, 20k€);Non;Non;393
mécanicien et technicien;M;Bachelors;Commercial;Panel Truck;yes;1;7;Highly Urban/ Urban;08/01/2022 21:15;complet;dev_express;(>100k€, 150k€);Non;Non;394
vendeur conseil caviste;F;PhD;Private;Van;yes;0;3;Highly Urban/ Urban;13/03/2022 10:59;complet;dev_express;(>100k€, 150k€);Non;Non;395
ingénieur aromaticien aromaticienne;M;z_High School;Commercial;Pickup;yes;3;8;Highly Urban/ Urban;05/01/2022 22:40;complet;dev_express;(>20k€, 40k€);Non;Non;396
ingénieur électronicien électronicienne des systèmes de la sécurité aérienne (IESSA);F;z_High School;Commercial;Pickup;no;1;8;Highly Urban/ Urban;17/02/2022 01:45;complet;dev_premium;(>60k€, 80k€);Oui;Oui;397
webmestre;M;Bachelors;Private;z_SUV;no;0;16;z_Highly Rural/ Rural;14/04/2022 05:13;complet;dev_premium;(0, 20k€);Non;Non;398
anatomiste;M;Masters;Private;z_SUV;no;2;10;Highly Urban/ Urban;10/02/2022 01:05;complet;dev_express;(0, 20k€);Non;Non;399
traducteur technique;M;Bachelors;Commercial;Minivan;no;0;9;z_Highly Rural/ Rural;17/04/2022 21:45;complet;dev_integral;(>80k€, 100k€);Oui;Oui;400
responsable de la collecte des déchets ménagers;F;z_High School;Commercial;Sports Car;no;7;1;Highly Urban/ Urban;15/02/2022 14:51;complet;dev_integral;(N/A - Missing Value);Non;Non;401
installateur en télécoms;M;Masters;Commercial;Panel Truck;no;0;5;Highly Urban/ Urban;07/04/2022 15:44;complet;dev_integral;(>100k€, 150k€);Non;Non;402
menuisier;M;<High School;Private;z_SUV;no;8;5;Highly Urban/ Urban;11/01/2022 21:36;complet;dev_express;(0, 20k€);Oui;Non;403
chargé des relations publiques;M;PhD;Commercial;Panel Truck;no;0;16;Highly Urban/ Urban;29/01/2022 06:11;complet;dev_express;(>150k€);Non;Non;404
fiscaliste;M;PhD;Commercial;Panel Truck;yes;5;19;Highly Urban/ Urban;27/01/2022 10:26;complet;dev_express;(>150k€);Non;Non;405
guide-conférencier;F;z_High School;Private;Minivan;no;0;7;Highly Urban/ Urban;09/04/2022 17:13;complet;dev_integral;(>40k€, 60k€);Oui;Non;406
chargé des relations publiques;F;z_High School;Commercial;z_SUV;no;0;8;Highly Urban/ Urban;04/02/2022 22:31;complet;dev_integral;(>60k€, 80k€);Oui;Non;407
concepteur de niveaux de jeu web;M;z_High School;Private;Minivan;no;2;9;Highly Urban/ Urban;13/04/2022 19:59;complet;dev_premium;(>60k€, 80k€);Oui;Non;408
administrateur territorial;M;PhD;Commercial;Van;yes;1;14;Highly Urban/ Urban;01/03/2022 04:29;complet;dev_premium;(N/A - Missing Value);Non;Non;409
vendeur en magasin;F;z_High School;Private;z_SUV;no;0;1;Highly Urban/ Urban;13/02/2022 11:48;complet;dev_premium;(0, 20k€);Non;Non;410
chef de rayon;M;<High School;Commercial;Van;yes;2;1;Highly Urban/ Urban;27/03/2022 04:34;complet;dev_integral;(>20k€, 40k€);Oui;Non;411
enseignant d'art;M;Bachelors;Private;Sports Car;no;0;14;Highly Urban/ Urban;26/03/2022 22:33;complet;dev_express;(>100k€, 150k€);Non;Non;412
maréchal-ferrant;F;Masters;Private;Pickup;no;0;;Highly Urban/ Urban;05/04/2022 17:32;complet;dev_premium;(>80k€, 100k€);Non;Non;413
podo-orthésiste;F;Bachelors;Private;z_SUV;no;2;16;z_Highly Rural/ Rural;23/01/2022 22:34;complet;dev_premium;(0, 20k€);Non;Non;414
façadier;M;Masters;Commercial;Pickup;no;0;16;Highly Urban/ Urban;14/02/2022 23:26;complet;dev_integral;(>80k€, 100k€);Non;Non;415
agent arboricole;F;Masters;Private;Pickup;no;0;;Highly Urban/ Urban;31/03/2022 03:07;complet;dev_express;(>20k€, 40k€);Non;Non;416
ingénieur électronicien électronicienne des systèmes de la sécurité aérienne (IESSA);M;<High School;Private;Pickup;no;1;1;Highly Urban/ Urban;11/05/2022 06:47;complet;dev_integral;(0, 20k€);Non;Non;417
metteur en scène;F;<High School;Private;z_SUV;no;7;1;Highly Urban/ Urban;24/03/2022 15:19;complet;dev_integral;(0, 20k€);Oui;Non;418
agronome;M;z_High School;Private;Pickup;no;6;1;Highly Urban/ Urban;29/03/2022 12:51;complet;dev_express;(0, 20k€);Non;Non;419
designer d'interaction;F;<High School;Commercial;Panel Truck;yes;0;1;Highly Urban/ Urban;02/01/2022 23:38;complet;dev_integral;(N/A - Missing Value);Oui;Non;420
collaborateur de notaire de notaire;M;z_High School;Commercial;Pickup;yes;5;1;Highly Urban/ Urban;29/05/2022 03:14;complet;dev_integral;(>20k€, 40k€);Oui;Oui;421
ingénieur brevets;M;Masters;Private;Van;no;11;16;Highly Urban/ Urban;18/04/2022 23:11;complet;dev_integral;(>80k€, 100k€);Non;Non;422
microtechnicien;M;z_High School;Private;Minivan;no;2;1;z_Highly Rural/ Rural;17/04/2022 11:37;complet;dev_integral;(0, 20k€);Non;Non;423
chef de cultures légumières;M;Bachelors;Commercial;Minivan;yes;6;7;Highly Urban/ Urban;08/03/2022 08:49;complet;dev_integral;(>80k€, 100k€);Non;Non;424
accompagnateur en moyenne montagne;F;Masters;Private;Sports Car;no;0;12;Highly Urban/ Urban;28/04/2022 19:59;complet;dev_express;(>80k€, 100k€);Non;Non;425
orthodontiste;M;Bachelors;Commercial;z_SUV;no;1;7;z_Highly Rural/ Rural;05/04/2022 14:33;complet;dev_premium;(>80k€, 100k€);Non;Non;426
hydrologue;M;<High School;Commercial;Minivan;no;0;5;Highly Urban/ Urban;30/03/2022 17:39;complet;dev_premium;(>20k€, 40k€);Oui;Oui;427
auteur-compositeur interprète interprète;F;z_High School;Private;Minivan;no;2;1;Highly Urban/ Urban;09/04/2022 15:27;complet;dev_integral;(>60k€, 80k€);Non;Non;428
consultant en validation;F;Masters;Commercial;Panel Truck;no;6;18;Highly Urban/ Urban;06/05/2022 19:05;complet;dev_express;(>100k€, 150k€);Non;Non;429
agent de développement des énergies renouvelables;F;Bachelors;Private;z_SUV;no;4;11;z_Highly Rural/ Rural;29/04/2022 01:23;complet;dev_integral;(>40k€, 60k€);Oui;Oui;430
géomètre-topographe;F;z_High School;Commercial;z_SUV;no;3;1;Highly Urban/ Urban;03/01/2022 09:08;complet;dev_express;(>20k€, 40k€);Non;Non;431
ingénieur études et développement en logiciels de simulation;M;Bachelors;Commercial;Panel Truck;yes;1;4;z_Highly Rural/ Rural;09/05/2022 02:38;complet;dev_vip;(>60k€, 80k€);Non;Non;432
assistant en architecture;F;Bachelors;Commercial;Pickup;yes;0;17;Highly Urban/ Urban;22/01/2022 15:35;complet;dev_integral;(N/A - Missing Value);Non;Non;433
coloriste;F;PhD;Private;Minivan;no;0;15;Highly Urban/ Urban;29/04/2022 09:35;complet;dev_express;(>20k€, 40k€);Non;Non;434
biostatisticien;F;z_High School;Commercial;Panel Truck;yes;5;;Highly Urban/ Urban;24/02/2022 09:29;complet;dev_integral;(>40k€, 60k€);Non;Non;435
directeur d'hôtel;F;z_High School;Commercial;Pickup;yes;0;1;Highly Urban/ Urban;01/04/2022 04:04;complet;dev_express;(0, 20k€);Non;Non;436
responsable assurance qualité;F;Bachelors;Commercial;Pickup;no;3;13;Highly Urban/ Urban;12/02/2022 03:31;complet;dev_express;(>80k€, 100k€);Non;Non;437
coffreur-boiseur;F;z_High School;Private;Van;yes;0;12;Highly Urban/ Urban;19/04/2022 19:52;complet;dev_integral;(>40k€, 60k€);Oui;Non;438
analyste de crédit;M;z_High School;Commercial;z_SUV;no;2;6;Highly Urban/ Urban;06/02/2022 22:10;complet;dev_premium;(0, 20k€);Oui;Non;439
visiteur médical médicale;F;Bachelors;Private;Sports Car;no;0;9;Highly Urban/ Urban;07/01/2022 04:46;complet;dev_integral;(0, 20k€);Oui;Non;440
enseignant de la conduite automobile et de la sécurité routière;F;z_High School;Commercial;Pickup;yes;0;1;Highly Urban/ Urban;19/03/2022 01:46;complet;dev_premium;(0, 20k€);Non;Non;441
guichetier;F;PhD;Private;Pickup;no;0;;Highly Urban/ Urban;10/03/2022 21:24;complet;dev_integral;(N/A - Missing Value);Non;Non;442
assistant en ressources humaines;F;Masters;Commercial;Pickup;yes;0;19;Highly Urban/ Urban;08/05/2022 21:30;complet;dev_integral;(>20k€, 40k€);Non;Non;443
statisticien;F;Bachelors;Commercial;z_SUV;no;0;7;Highly Urban/ Urban;09/03/2022 21:30;complet;dev_express;(>40k€, 60k€);Oui;Non;444
auditeur qualité;M;PhD;Private;z_SUV;no;2;15;Highly Urban/ Urban;20/04/2022 18:29;complet;dev_express;(0, 20k€);Non;Non;445
libraire;F;z_High School;Commercial;Pickup;yes;3;1;Highly Urban/ Urban;05/04/2022 00:30;complet;dev_integral;(>100k€, 150k€);Non;Non;446
écrivain;M;Masters;Private;z_SUV;no;4;9;Highly Urban/ Urban;20/05/2022 14:23;complet;dev_integral;(>80k€, 100k€);Oui;Non;447
archéologue;M;<High School;Private;z_SUV;no;1;6;Highly Urban/ Urban;03/03/2022 09:25;complet;dev_integral;(0, 20k€);Oui;Non;448
halieute;F;<High School;Private;z_SUV;no;2;1;Highly Urban/ Urban;12/03/2022 08:44;complet;dev_express;(0, 20k€);Oui;Oui;449
expert automobile;F;Masters;Private;Sports Car;no;0;12;Highly Urban/ Urban;06/01/2022 12:56;complet;dev_express;(>60k€, 80k€);Oui;Non;450
animateur nature nature;M;<High School;Commercial;Pickup;yes;7;4;Highly Urban/ Urban;17/01/2022 08:56;complet;dev_express;(N/A - Missing Value);Non;Non;451
auditeur qualité;F;z_High School;Private;z_SUV;no;1;8;Highly Urban/ Urban;04/03/2022 00:51;complet;dev_integral;(0, 20k€);Oui;Non;452
ingénieur technico-commercial technico-commerciale;F;Masters;Private;z_SUV;no;0;20;Highly Urban/ Urban;28/02/2022 08:01;complet;dev_premium;(>100k€, 150k€);Non;Non;453
responsable du soutien logistique intégré;M;Bachelors;Commercial;Van;no;0;4;Highly Urban/ Urban;22/03/2022 17:53;complet;dev_express;(>60k€, 80k€);Non;Non;454
responsable du service après-vente;F;z_High School;Commercial;Minivan;no;0;10;Highly Urban/ Urban;09/05/2022 14:13;complet;dev_express;(>40k€, 60k€);Oui;Non;455
gendarme;F;PhD;Commercial;Pickup;no;0;;Highly Urban/ Urban;11/03/2022 14:38;complet;dev_integral;(>80k€, 100k€);Non;Non;456
déclarant en douane;F;z_High School;Commercial;Van;yes;5;1;Highly Urban/ Urban;19/02/2022 23:44;complet;dev_integral;(>60k€, 80k€);Non;Non;457
secrétaire d'édition;F;Bachelors;Private;Sports Car;no;2;8;Highly Urban/ Urban;28/04/2022 20:05;complet;dev_premium;(0, 20k€);Oui;Non;458
technicien d'essais;M;Masters;Private;Pickup;yes;0;1;Highly Urban/ Urban;01/03/2022 15:58;complet;dev_integral;(>150k€);Non;Non;459
accompagnant éducatif et social éducative et sociale;M;Bachelors;Private;Minivan;yes;1;1;Highly Urban/ Urban;17/01/2022 02:58;complet;dev_integral;(>80k€, 100k€);Oui;Oui;460
ingénieur technico-commercial technico-commerciale en informatique;M;Bachelors;Private;z_SUV;no;0;9;z_Highly Rural/ Rural;12/03/2022 07:57;complet;dev_premium;(0, 20k€);Non;Non;461
monteur-câbleur;M;Bachelors;Private;Sports Car;no;1;5;Highly Urban/ Urban;14/04/2022 03:21;complet;dev_express;(>60k€, 80k€);Non;Non;462
conseiller en voyages;M;Bachelors;Commercial;Panel Truck;no;0;12;Highly Urban/ Urban;17/02/2022 11:06;complet;dev_express;(>80k€, 100k€);Non;Non;463
déclarant en douane;F;Bachelors;Private;Minivan;no;2;11;Highly Urban/ Urban;19/04/2022 19:04;complet;dev_integral;(>40k€, 60k€);Non;Non;464
avocat;M;<High School;Commercial;Pickup;no;0;5;z_Highly Rural/ Rural;18/05/2022 10:53;complet;dev_integral;(0, 20k€);Oui;Oui;465
électromécanicien en remontées mécaniques;M;Bachelors;Commercial;Pickup;yes;1;12;z_Highly Rural/ Rural;13/03/2022 05:28;complet;dev_express;(>60k€, 80k€);Non;Non;466
plâtrier;F;Masters;Commercial;Van;yes;0;;Highly Urban/ Urban;11/05/2022 14:01;complet;dev_express;(>150k€);Oui;Oui;467
façonnier des industries graphiques;F;Masters;Commercial;Panel Truck;no;1;;Highly Urban/ Urban;11/01/2022 02:15;complet;dev_premium;(>80k€, 100k€);Non;Non;468
technicien radioprotection;F;<High School;Private;z_SUV;no;2;6;Highly Urban/ Urban;09/05/2022 11:12;complet;dev_integral;(>20k€, 40k€);Non;Non;469
web-ergonome;F;<High School;Commercial;Minivan;no;6;1;Highly Urban/ Urban;04/01/2022 12:36;complet;dev_integral;(0, 20k€);Oui;Oui;470
conseiller en insertion sociale et professionnelle;F;z_High School;Private;z_SUV;no;7;6;Highly Urban/ Urban;30/05/2022 20:12;complet;dev_express;(0, 20k€);Oui;Non;471
aide-chimiste;M;<High School;Private;Minivan;yes;1;9;Highly Urban/ Urban;06/03/2022 00:29;complet;dev_express;(>80k€, 100k€);Non;Non;472
formateur en informatique;M;z_High School;Private;z_SUV;no;7;4;Highly Urban/ Urban;19/01/2022 12:12;complet;dev_premium;(>20k€, 40k€);Oui;Non;473
credit manager;F;Masters;Private;Pickup;no;2;9;Highly Urban/ Urban;20/04/2022 02:39;complet;dev_integral;(>40k€, 60k€);Oui;Non;474
conseiller en insertion sociale et professionnelle;M;<High School;Private;z_SUV;no;1;1;Highly Urban/ Urban;24/05/2022 17:45;complet;dev_express;(0, 20k€);Non;Non;475
infirmier humanitaire;F;<High School;Private;z_SUV;no;8;1;Highly Urban/ Urban;26/03/2022 13:13;complet;dev_express;(0, 20k€);Oui;Non;476
microbiologiste;F;<High School;Private;z_SUV;no;1;8;Highly Urban/ Urban;23/03/2022 14:10;complet;dev_integral;(0, 20k€);Non;Non;477
chef de projet éolien;M;Masters;Commercial;Panel Truck;yes;0;18;Highly Urban/ Urban;12/04/2022 00:22;complet;dev_integral;(>100k€, 150k€);Non;Non;478
chargé d'études ressources humaines;M;PhD;Private;Minivan;no;0;11;Highly Urban/ Urban;15/04/2022 13:43;complet;dev_integral;(>150k€);Non;Non;479
ingénieur chimiste en développement analytique;F;z_High School;Commercial;Pickup;yes;1;6;Highly Urban/ Urban;20/04/2022 01:02;complet;dev_express;(>40k€, 60k€);Non;Non;480
enseignant spécialisé spécialisée;F;<High School;Private;z_SUV;no;0;1;z_Highly Rural/ Rural;02/05/2022 23:12;complet;dev_integral;(>20k€, 40k€);Non;Non;481
gestionnaire de contrats informatiques;F;z_High School;Private;Van;yes;6;1;Highly Urban/ Urban;21/05/2022 08:38;complet;dev_express;(0, 20k€);Oui;Non;482
designer industriel industrielle;F;Bachelors;Private;z_SUV;no;0;;Highly Urban/ Urban;01/03/2022 18:29;complet;dev_express;(>60k€, 80k€);Oui;Non;483
formateur d'adultes;F;Masters;Private;Minivan;no;3;7;Highly Urban/ Urban;10/05/2022 11:14;complet;dev_premium;(>60k€, 80k€);Oui;Oui;484
technicien chimiste;F;Masters;Private;Sports Car;no;1;10;Highly Urban/ Urban;06/03/2022 05:10;complet;dev_integral;(>100k€, 150k€);Non;Non;485
expert en assurances;F;<High School;Private;Minivan;no;0;1;z_Highly Rural/ Rural;26/05/2022 01:21;complet;dev_integral;(0, 20k€);Non;Non;486
orthophoniste;F;<High School;Private;Sports Car;no;1;1;Highly Urban/ Urban;25/04/2022 09:36;complet;dev_integral;(>20k€, 40k€);Oui;Oui;487
moniteur d'activités équestres;M;z_High School;Commercial;z_SUV;no;0;1;z_Highly Rural/ Rural;29/05/2022 19:59;complet;dev_premium;(>20k€, 40k€);Non;Non;488
professeur de mathématiques ou de physique-chimie;M;z_High School;Private;Sports Car;no;5;10;Highly Urban/ Urban;03/02/2022 15:04;complet;dev_express;(>20k€, 40k€);Oui;Non;489
avocat;M;z_High School;Commercial;Minivan;no;0;8;Highly Urban/ Urban;16/05/2022 00:02;complet;dev_express;(>20k€, 40k€);Oui;Non;490
professeur dans l'enseignement agricole;F;Bachelors;Private;z_SUV;no;1;10;Highly Urban/ Urban;15/05/2022 09:25;complet;dev_express;(>60k€, 80k€);Oui;Oui;491
médiateur scientifique;M;Bachelors;Private;z_SUV;no;2;6;Highly Urban/ Urban;28/05/2022 03:24;complet;dev_express;(>60k€, 80k€);Oui;Non;492
traffic manager;F;z_High School;Commercial;Pickup;yes;2;11;z_Highly Rural/ Rural;27/03/2022 17:26;complet;dev_integral;(0, 20k€);Non;Non;493
diagnostiqueur immobilier;M;z_High School;Private;z_SUV;no;4;1;Highly Urban/ Urban;03/02/2022 09:48;complet;dev_integral;(>20k€, 40k€);Non;Non;494
mécanicien-réparateur en matériel agricole;F;Masters;Commercial;Panel Truck;yes;4;8;Highly Urban/ Urban;06/05/2022 15:53;complet;dev_premium;(>100k€, 150k€);Non;Non;495
traducteur-interprète;F;<High School;Private;Minivan;no;3;;z_Highly Rural/ Rural;12/05/2022 06:56;complet;dev_premium;(>20k€, 40k€);Non;Non;496
gestionnaire de contrats d'assurance;F;Bachelors;Commercial;Van;yes;1;13;Highly Urban/ Urban;15/01/2022 18:39;complet;dev_integral;(>80k€, 100k€);Non;Non;497
